Designator,Mid X,Mid Y,Rotation,Layer
_2,150.88875,158.68,0.0,top
,150.88875,160.28,0.0,top
BT1,148.01875,123.71,270.0,top
BT2,155.3775,123.71,270.0,top
D1,17.3675,137.68,0.0,top
D10,240.4675,137.68,0.0,top
D11,259.5175,137.68,0.0,top
D12,280.94875,137.68,0.0,top
D13,17.3675,118.63,0.0,top
D14,38.79875,118.63,0.0,top
D15,57.84875,118.63,0.0,top
D16,76.89875,118.63,0.0,top
D17,95.94875,118.63,0.0,top
D18,114.99875,118.63,0.0,top
D19,183.3175,118.63,0.0,top
D2,38.79875,137.68,0.0,top
D20,202.3675,118.63,0.0,top
D21,221.4175,118.63,0.0,top
D22,240.4675,118.63,0.0,top
D23,259.5175,118.63,0.0,top
D24,280.94875,118.63,0.0,top
D25,17.3675,99.58,0.0,top
D26,38.79875,99.58,0.0,top
D27,57.84875,99.58,0.0,top
D28,76.89875,99.58,0.0,top
D29,95.94875,99.58,0.0,top
D3,57.84875,137.68,0.0,top
D30,114.99875,99.58,0.0,top
D31,183.3175,99.58,0.0,top
D32,202.3675,99.58,0.0,top
D33,221.4175,99.58,0.0,top
D34,240.4675,99.58,0.0,top
D35,259.5175,99.58,0.0,top
D36,280.94875,99.58,0.0,top
D37,17.3675,80.53,0.0,top
D38,38.79875,80.53,0.0,top
D39,57.84875,80.53,0.0,top
D4,76.89875,137.68,0.0,top
D40,76.89875,80.53,0.0,top
D41,105.47375,80.53,0.0,top
D42,120.71375,84.34,90.0,top
D43,180.46,80.53,180.0,top
D44,194.7475,80.53,0.0,top
D45,221.4175,80.53,0.0,top
D46,240.4675,80.53,0.0,top
D47,261.4225,80.53,0.0,top
D48,280.4725,80.53,0.0,top
D5,95.94875,137.68,0.0,top
D6,114.99875,137.68,0.0,top
D7,183.3175,137.68,0.0,top
D8,202.3675,137.68,0.0,top
D9,221.4175,137.68,0.0,top
RSTL1,137.63875,156.68,0.0,bottom
RSTR1,164.6575,156.68,180.0,top
S1,17.6575,147.555,0.0,top
S10,240.7575,147.555,0.0,top
S11,259.8075,147.555,0.0,top
S12,281.23875,147.555,0.0,top
S13,17.6575,128.505,0.0,top
S14,39.08875,128.505,0.0,top
S15,58.13875,128.505,0.0,top
S16,77.18875,128.505,0.0,top
S17,96.23875,128.505,0.0,top
S18,115.28875,128.505,0.0,top
S19,183.6075,128.505,0.0,top
S2,39.08875,147.555,0.0,top
S20,202.6575,128.505,0.0,top
S21,221.7075,128.505,0.0,top
S22,240.7575,128.505,0.0,top
S23,259.8075,128.505,0.0,top
S24,281.23875,128.505,0.0,top
S25,17.6575,109.455,0.0,top
S26,39.08875,109.455,0.0,top
S27,58.13875,109.455,0.0,top
S28,77.18875,109.455,0.0,top
S29,96.23875,109.455,0.0,top
S3,58.13875,147.555,0.0,top
S30,115.28875,109.455,0.0,top
S31,183.6075,109.455,0.0,top
S32,202.6575,109.455,0.0,top
S33,221.7075,109.455,0.0,top
S34,240.7575,109.455,0.0,top
S35,259.8075,109.455,0.0,top
S36,281.23875,109.455,0.0,top
S37,17.6575,90.405,0.0,top
S38,39.08875,90.405,0.0,top
S39,58.13875,90.405,0.0,top
S4,77.18875,147.555,0.0,top
S40,77.18875,90.405,0.0,top
S41,105.76375,90.405,0.0,top
S42,135.88852237570202,85.30190841230613,345.0,top
S43,163.06906113697764,84.8360341311216,15.0,top
S44,193.1325,90.405,0.0,top
S45,221.7075,90.405,0.0,top
S46,240.7575,90.405,0.0,top
S47,259.8075,90.405,0.0,top
S48,281.23875,90.405,0.0,top
S5,96.23875,147.555,0.0,top
S6,115.28875,147.555,0.0,top
S7,183.6075,147.555,0.0,top
S8,202.6575,147.555,0.0,top
S9,221.7075,147.555,0.0,top
U1,137.13875,143.05,0.0,bottom
U2,164.7825,143.05,0.0,bottom
